probability_pct,window_left_pct,window_right_pct,n_samples_window,pct_samples_window,pct_pneumo_window,pct_mitis_window,pct_pseudo_window
0.0,-2.5,2.5,14,0.41841004184100417,0.0,100.0,0.0
1.0,-1.5,3.5,38,1.1356843992827257,2.631578947368421,97.36842105263158,0.0
2.0,-0.5,4.5,71,2.121936640765093,2.8169014084507045,97.1830985915493,0.0
3.0,0.5,5.5,112,3.3472803347280333,1.7857142857142856,98.21428571428571,0.0
4.0,1.5,6.5,163,4.871488344291692,1.8404907975460123,98.15950920245399,0.0
5.0,2.5,7.5,193,5.768081291093844,1.5544041450777202,98.44559585492227,0.0
6.0,3.5,8.5,228,6.814106395696354,0.8771929824561403,99.12280701754386,0.0
7.0,4.5,9.5,252,7.531380753138076,0.7936507936507936,99.20634920634922,0.0
8.0,5.5,10.5,263,7.8601315002988645,1.1406844106463878,98.85931558935361,0.0
9.0,6.5,11.5,269,8.039450089659294,1.486988847583643,98.51301115241635,0.0
10.0,7.5,12.5,278,8.30842797369994,1.7985611510791366,97.84172661870504,0.3597122302158274
11.0,8.5,13.5,258,7.710699342498506,1.937984496124031,96.89922480620154,1.1627906976744187
12.0,9.5,14.5,249,7.44172145845786,1.6064257028112447,97.18875502008032,1.2048192771084338
13.0,10.5,15.5,259,7.740585774058577,4.247104247104247,94.20849420849422,1.5444015444015444
14.0,11.5,16.5,251,7.501494321578003,4.382470119521913,94.02390438247012,1.593625498007968
15.0,12.5,17.5,243,7.26240286909743,4.526748971193416,93.82716049382715,1.646090534979424
16.0,13.5,18.5,244,7.292289300657502,5.327868852459016,91.39344262295081,3.278688524590164
17.0,14.5,19.5,250,7.471607890017933,6.4,90.0,3.5999999999999996
18.0,15.5,20.5,220,6.5750149432157805,4.090909090909091,92.27272727272727,3.6363636363636362
19.0,16.5,21.5,204,6.096832038254632,5.88235294117647,89.2156862745098,4.901960784313726
20.0,17.5,22.5,196,5.857740585774058,7.142857142857142,86.73469387755102,6.122448979591836
21.0,18.5,23.5,181,5.409444112372983,11.049723756906078,85.0828729281768,3.867403314917127
22.0,19.5,24.5,160,4.781829049611477,14.374999999999998,80.625,5.0
23.0,20.5,25.5,154,4.602510460251046,14.285714285714285,79.87012987012987,5.844155844155844
24.0,21.5,26.5,153,4.572624028690974,13.725490196078432,78.43137254901961,7.8431372549019605
25.0,22.5,27.5,145,4.3335325762104,14.482758620689657,78.62068965517241,6.896551724137931
26.0,23.5,28.5,151,4.512851165570831,10.596026490066226,80.13245033112582,9.271523178807946
27.0,24.5,29.5,136,4.064554692169755,10.294117647058822,80.14705882352942,9.558823529411764
28.0,25.5,30.5,131,3.915122534369396,13.740458015267176,77.09923664122137,9.16030534351145
29.0,26.5,31.5,126,3.765690376569038,12.698412698412698,78.57142857142857,8.73015873015873
30.0,27.5,32.5,123,3.6760310818888224,13.821138211382115,73.98373983739837,12.195121951219512
31.0,28.5,33.5,117,3.496712492528392,17.094017094017094,73.50427350427351,9.401709401709402
32.0,29.5,34.5,117,3.496712492528392,17.94871794871795,71.7948717948718,10.256410256410255
33.0,30.5,35.5,109,3.257621040047818,17.431192660550458,71.55963302752293,11.009174311926607
34.0,31.5,36.5,95,2.839210998206814,21.052631578947366,70.52631578947368,8.421052631578947
35.0,32.5,37.5,84,2.510460251046025,20.238095238095237,73.80952380952381,5.952380952380952
36.0,33.5,38.5,80,2.3909145248057384,22.5,70.0,7.5
37.0,34.5,39.5,75,2.2414823670053794,17.333333333333336,74.66666666666667,8.0
38.0,35.5,40.5,77,2.301255230125523,22.07792207792208,68.83116883116884,9.090909090909092
39.0,36.5,41.5,82,2.450687387925882,20.73170731707317,68.29268292682927,10.975609756097562
40.0,37.5,42.5,77,2.301255230125523,22.07792207792208,67.53246753246754,10.38961038961039
41.0,38.5,43.5,67,2.0023909145248058,14.925373134328357,73.13432835820896,11.940298507462686
42.0,39.5,44.5,67,2.0023909145248058,19.402985074626866,68.65671641791045,11.940298507462686
43.0,40.5,45.5,61,1.8230723251643755,13.114754098360656,75.40983606557377,11.475409836065573
44.0,41.5,46.5,51,1.524208009563658,17.647058823529413,68.62745098039215,13.725490196078432
45.0,42.5,47.5,54,1.6138673042438731,16.666666666666664,70.37037037037037,12.962962962962962
46.0,43.5,48.5,53,1.5839808726838016,18.867924528301888,69.81132075471697,11.320754716981133
47.0,44.5,49.5,48,1.434548714883443,18.75,72.91666666666666,8.333333333333332
48.0,45.5,50.5,42,1.2552301255230125,19.047619047619047,71.42857142857143,9.523809523809524
49.0,46.5,51.5,37,1.105797967722654,13.513513513513514,81.08108108108108,5.405405405405405
50.0,47.5,52.5,31,0.9264793783622235,16.129032258064516,80.64516129032258,3.225806451612903
51.0,48.5,53.5,25,0.7471607890017932,16.0,80.0,4.0
52.0,49.5,54.5,23,0.6873879258816498,13.043478260869565,82.6086956521739,4.3478260869565215
53.0,50.5,55.5,25,0.7471607890017932,20.0,76.0,4.0
54.0,51.5,56.5,25,0.7471607890017932,32.0,64.0,4.0
55.0,52.5,57.5,23,0.6873879258816498,43.47826086956522,52.17391304347826,4.3478260869565215
56.0,53.5,58.5,21,0.6276150627615062,57.14285714285714,42.857142857142854,0.0
57.0,54.5,59.5,21,0.6276150627615062,76.19047619047619,23.809523809523807,0.0
58.0,55.5,60.5,17,0.5080693365212193,82.35294117647058,17.647058823529413,0.0
59.0,56.5,61.5,17,0.5080693365212193,88.23529411764706,11.76470588235294,0.0
60.0,57.5,62.5,24,0.7172743574417215,83.33333333333334,16.666666666666664,0.0
61.0,58.5,63.5,27,0.8069336521219366,81.48148148148148,18.51851851851852,0.0
62.0,59.5,64.5,26,0.7770472205618649,84.61538461538461,15.384615384615385,0.0
63.0,60.5,65.5,33,0.986252241482367,90.9090909090909,9.090909090909092,0.0
64.0,61.5,66.5,39,1.1655708308427972,84.61538461538461,15.384615384615385,0.0
65.0,62.5,67.5,37,1.105797967722654,81.08108108108108,18.91891891891892,0.0
