feature_index,importance
4833,0.01942556288045294
4830,0.018902917579361588
4832,0.01644977179446503
4838,0.015517382204160934
4836,0.014870434059035308
2767,0.013888337324888487
4824,0.013637759982861014
4862,0.013180722642549363
4825,0.011527333295514652
4821,0.011006562486711313
4865,0.010461218919055939
4837,0.00915170236000589
4840,0.008819943216667075
4829,0.008655903743210104
4869,0.008406304580470005
4872,0.007841451698924199
1418,0.007835995496487677
1445,0.007782961704148728
4827,0.0071611491152092635
4823,0.007088278410075769
4831,0.0070752465917220345
4866,0.006768709654789455
4819,0.0067421790983907045
4880,0.006707263765894658
1871,0.006659563189239432
4878,0.006420688754627457
4834,0.006290095863072534
4826,0.006127838882652476
1420,0.006126975366982417
4863,0.006046681144719532
4881,0.005965249871235116
1866,0.005798365310580943
1417,0.005746874345384932
4864,0.005734975934830098
7525,0.005609758169166741
7527,0.005515166154524345
3010,0.005448485483328945
4835,0.005447104525635756
1443,0.005426200829382392
4868,0.0053681348690221885
4828,0.005348380542647813
7523,0.0051931719774539154
2766,0.005077403358037798
4867,0.005015845643368548
1444,0.004989006070563215
1869,0.004963229264871599
2765,0.00496294581222427
3006,0.004948562219436149
4877,0.004921390105437995
2764,0.004869503838305992
4884,0.004860622860957156
4879,0.004700408517829316
1868,0.004663592611698625
4822,0.0046501555726833664
1442,0.004547024179917363
1874,0.004527006776597126
4870,0.004477885596468465
7524,0.004413808159152183
4873,0.004374020406826075
4887,0.0043124362284533155
2762,0.004284386389153531
1448,0.004274822974327859
1447,0.00419617451017526
4839,0.004190205333986496
4876,0.004169482051981703
7529,0.00412916896515779
1438,0.0040754222557175465
1416,0.004060291373178144
4889,0.004028786480654019
4818,0.003993296877605482
7521,0.003918541511300861
4841,0.0037887434165554475
1872,0.0037752320640006823
2769,0.0036563989967282455
3002,0.003539688998324645
3008,0.003498393285356387
7531,0.003490916661492876
1434,0.0034506272831563993
4871,0.003429583963606456
1867,0.003417140449048312
81,0.0033639682180439624
1873,0.0033596165049918883
3003,0.0033389467596832366
4960,0.003296509176976968
2763,0.0031816230449672155
7522,0.003097617063303813
67,0.0030477121093833394
1439,0.0028793563952020894
1419,0.002876619192246136
4882,0.002832564424137877
4749,0.00283014161833365
4844,0.00282930611700585
4860,0.0027477200390223
4951,0.0027471677578864264
4886,0.0027244296850856427
5727,0.002681231723485736
4856,0.0026702538733747072
2768,0.002648119454001083
4820,0.0026446419903131966
1381,0.002640181122556544
1435,0.002594473898735043
1379,0.0025788602938275843
3011,0.002564084526212286
4857,0.0025509347414267177
7517,0.002456134313115491
4875,0.0023444507102020544
4746,0.0023250505029970875
1870,0.002324455413087825
1421,0.002322342070119007
1441,0.002288727942268679
4883,0.002285905884683824
7520,0.002265282642418166
3005,0.0022393942190010348
5719,0.0021987995501701464
2992,0.0021726781075240417
1446,0.0021619836117813124
2991,0.002130886548834032
5728,0.0021296872702494594
3001,0.0021225394451571
3942,0.0021222914268892025
7526,0.00211195117616771
68,0.0020773968944865573
5720,0.002071007894957712
4858,0.0020538136149726507
1436,0.00203983908283288
4874,0.002035901722580162
5516,0.00201236800839354
1856,0.0019557301773868285
80,0.0019085504629317697
4842,0.0018953566289739456
1432,0.001856877029351552
3823,0.0018094055303174159
5723,0.0017975196089363738
4949,0.0017847489916205611
4859,0.0017775594423971718
4815,0.001749551465407101
2761,0.0017475262303298798
65,0.001741835322504604
2998,0.001733048436023932
4959,0.0016896845734531705
970,0.0016488432436608965
7534,0.0016366573012845565
1863,0.001603645918212145
